country,year,iso_code,population,gdp,primary_energy_consumption,energy_per_capita,fossil_share_energy,fossil_fuel_consumption,electricity_generation,renewables_share_energy,renewables_share_elec,renewables_consumption,renewables_electricity,hydro_electricity,hydro_share_elec,hydro_share_energy,solar_electricity,solar_share_elec,solar_share_energy,wind_electricity,wind_share_elec,wind_share_energy,other_renewable_electricity,other_renewables_share_elec,other_renewables_share_energy,renewables_electricity,renewables_share_elec,renewables_share_energy
ASEAN (Ember),2000,,,,,,,,378.76,,19.334,,73.23,50.43,13.314,,0.0,0.0,,0.0,0.0,,22.8,6.02,,73.23,19.334,
ASEAN (Ember),2001,,,,,,,,405.09,,19.055,,77.19,54.33,13.412,,0.0,0.0,,0.0,0.0,,22.86,5.643,,77.19,19.055,
ASEAN (Ember),2002,,,,,,,,433.19,,17.667,,76.53,53.3,12.304,,0.0,0.0,,0.0,0.0,,23.23,5.363,,76.53,17.667,
ASEAN (Ember),2003,,,,,,,,458.3,,16.668,,76.39,53.21,11.61,,0.0,0.0,,0.0,0.0,,23.18,5.058,,76.39,16.668,
ASEAN (Ember),2004,,,,,,,,496.61,,15.696,,77.95,52.99,10.67,,0.0,0.0,,0.0,0.0,,24.96,5.026,,77.95,15.696,
ASEAN (Ember),2005,,,,,,,,522.68,,15.151,,79.19,53.88,10.308,,0.0,0.0,,0.02,0.004,,25.29,4.839,,79.19,15.151,
ASEAN (Ember),2006,,,,,,,,547.17,,15.765,,86.26,60.52,11.061,,0.04,0.007,,0.05,0.009,,25.65,4.688,,86.26,15.765,
ASEAN (Ember),2007,,,,,,,,578.98,,15.686,,90.82,63.25,10.924,,0.04,0.007,,0.06,0.01,,27.47,4.745,,90.82,15.686,
ASEAN (Ember),2008,,,,,,,,603.96,,16.493,,99.61,69.95,11.582,,0.04,0.007,,0.06,0.01,,29.56,4.894,,99.61,16.493,
ASEAN (Ember),2009,,,,,,,,624.57,,16.698,,104.29,73.69,11.799,,0.04,0.006,,0.07,0.011,,30.49,4.882,,104.29,16.698,
ASEAN (Ember),2010,,,,,,,,686.86,,16.484,,113.22,80.07,11.657,,0.07,0.01,,0.1,0.015,,32.98,4.802,,113.22,16.484,
