Entity,Code,Year,Number of reported natural disasters - Earthquakes
Afghanistan,AFG,50,1
Afghanistan,AFG,818,1
Afghanistan,AFG,1102,1
Afghanistan,AFG,1505,1
Afghanistan,AFG,1832,1
Afghanistan,AFG,1842,1
Afghanistan,AFG,1874,1
Afghanistan,AFG,1896,1
Afghanistan,AFG,1908,1
Afghanistan,AFG,1909,1
Afghanistan,AFG,1911,2
Afghanistan,AFG,1921,1
Afghanistan,AFG,1922,1
Afghanistan,AFG,1929,1
Afghanistan,AFG,1937,1
Afghanistan,AFG,1939,1
Afghanistan,AFG,1949,1
Afghanistan,AFG,1954,1
Afghanistan,AFG,1956,1
Afghanistan,AFG,1965,1
Afghanistan,AFG,1972,1
Afghanistan,AFG,1976,2
Afghanistan,AFG,1982,1
Afghanistan,AFG,1983,1
Afghanistan,AFG,1984,1
Afghanistan,AFG,1985,1
Afghanistan,AFG,1990,2
Afghanistan,AFG,1991,3
Afghanistan,AFG,1994,1
Afghanistan,AFG,1997,1
Afghanistan,AFG,1998,3
Afghanistan,AFG,1999,1
Afghanistan,AFG,2000,1
Afghanistan,AFG,2001,1
Afghanistan,AFG,2002,3
Afghanistan,AFG,2004,3
Afghanistan,AFG,2005,1
Afghanistan,AFG,2008,1
Afghanistan,AFG,2009,2
Afghanistan,AFG,2010,1
Afghanistan,AFG,2012,1
Afghanistan,AFG,2013,1
Afghanistan,AFG,2015,2
Afghanistan,AFG,2016,1
Afghanistan,AFG,2018,3
Afghanistan,AFG,2022,3
Afghanistan,AFG,2023,4
Africa,OWID_AFR,-221,1
Africa,OWID_AFR,-27,1
Africa,OWID_AFR,412,1
Africa,OWID_AFR,704,1
Africa,OWID_AFR,854,1
Africa,OWID_AFR,856,1
Africa,OWID_AFR,857,1
Africa,OWID_AFR,885,1
Africa,OWID_AFR,1040,1
Africa,OWID_AFR,1070,1
Africa,OWID_AFR,1212,1
Africa,OWID_AFR,1276,1
Africa,OWID_AFR,1359,1
Africa,OWID_AFR,1365,1
Africa,OWID_AFR,1481,1
Africa,OWID_AFR,1579,1
Africa,OWID_AFR,1624,1
Africa,OWID_AFR,1631,1
Africa,OWID_AFR,1636,1
Africa,OWID_AFR,1660,1
Africa,OWID_AFR,1716,2
Africa,OWID_AFR,1719,1
Africa,OWID_AFR,1731,1
Africa,OWID_AFR,1733,1
Africa,OWID_AFR,1754,1
Africa,OWID_AFR,1755,1
Africa,OWID_AFR,1757,1
Africa,OWID_AFR,1758,1
Africa,OWID_AFR,1773,1
Africa,OWID_AFR,1777,1
Africa,OWID_AFR,1788,1
Africa,OWID_AFR,1790,1
Africa,OWID_AFR,1791,1
Africa,OWID_AFR,1795,1
Africa,OWID_AFR,1802,1
Africa,OWID_AFR,1808,1
Africa,OWID_AFR,1809,1
Africa,OWID_AFR,1819,1
Africa,OWID_AFR,1820,1
Africa,OWID_AFR,1821,1
Africa,OWID_AFR,1825,1
Africa,OWID_AFR,1842,1
Africa,OWID_AFR,1845,1
Africa,OWID_AFR,1847,1
Africa,OWID_AFR,1848,1
Africa,OWID_AFR,1850,1
Africa,OWID_AFR,1855,1
Africa,OWID_AFR,1856,2
Africa,OWID_AFR,1857,2
Africa,OWID_AFR,1861,1
Africa,OWID_AFR,1862,1
Africa,OWID_AFR,1867,1
Africa,OWID_AFR,1869,1
Africa,OWID_AFR,1872,1
Africa,OWID_AFR,1875,1
Africa,OWID_AFR,1879,2
Africa,OWID_AFR,1884,1
Africa,OWID_AFR,1885,2
Africa,OWID_AFR,1887,1
Africa,OWID_AFR,1889,1
Africa,OWID_AFR,1891,1
Africa,OWID_AFR,1905,1
Africa,OWID_AFR,1906,2
Africa,OWID_AFR,1909,2
Africa,OWID_AFR,1910,3
Africa,OWID_AFR,1912,1
Africa,OWID_AFR,1915,1
Africa,OWID_AFR,1919,1
Africa,OWID_AFR,1921,2
Africa,OWID_AFR,1922,1
Africa,OWID_AFR,1924,1
Africa,OWID_AFR,1926,1
Africa,OWID_AFR,1928,1
Africa,OWID_AFR,1930,1
Africa,OWID_AFR,1933,1
Africa,OWID_AFR,1937,1
Africa,OWID_AFR,1939,1
Africa,OWID_AFR,1941,1
Africa,OWID_AFR,1942,1
Africa,OWID_AFR,1943,1
Africa,OWID_AFR,1945,2
Africa,OWID_AFR,1946,1
Africa,OWID_AFR,1947,1
Africa,OWID_AFR,1954,4
Africa,OWID_AFR,1955,1
Africa,OWID_AFR,1957,1
Africa,OWID_AFR,1959,1
Africa,OWID_AFR,1960,3
Africa,OWID_AFR,1961,1
Africa,OWID_AFR,1962,1
Africa,OWID_AFR,1963,1
Africa,OWID_AFR,1964,1
Africa,OWID_AFR,1965,1
Africa,OWID_AFR,1966,1
Africa,OWID_AFR,1967,1
Africa,OWID_AFR,1968,2
Africa,OWID_AFR,1969,4
Africa,OWID_AFR,1973,1
Africa,OWID_AFR,1974,1
Africa,OWID_AFR,1975,1
Africa,OWID_AFR,1976,1
Africa,OWID_AFR,1980,1
Africa,OWID_AFR,1981,1
Africa,OWID_AFR,1983,1
Africa,OWID_AFR,1985,1
Africa,OWID_AFR,1986,1
Africa,OWID_AFR,1987,1
Africa,OWID_AFR,1988,1
Africa,OWID_AFR,1989,3
Africa,OWID_AFR,1990,4
Africa,OWID_AFR,1992,2
Africa,OWID_AFR,1993,1
Africa,OWID_AFR,1994,2
Africa,OWID_AFR,1995,1
Africa,OWID_AFR,1997,1
Africa,OWID_AFR,1999,1
Africa,OWID_AFR,2000,2
Africa,OWID_AFR,2002,4
